"","X","Date","Country","State","Case_Type","Cases","Difference","Prep_Flow_Runtime","Latest_Date","Lat","Long"
"1",61677,2020-03-15,"Malaysia","N/A","Recovered",42,7,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"2",61678,2020-03-15,"Malaysia","N/A","Deaths",0,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"3",61679,2020-03-15,"Malaysia","N/A","Confirmed",428,190,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"4",61680,2020-03-15,"Malaysia","N/A","Active",386,183,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"5",61793,2020-02-19,"Malaysia","N/A","Recovered",15,2,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"6",61794,2020-02-19,"Malaysia","N/A","Deaths",0,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"7",61795,2020-02-19,"Malaysia","N/A","Confirmed",22,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"8",61796,2020-02-19,"Malaysia","N/A","Active",7,-2,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"9",62033,2020-02-13,"Malaysia","N/A","Recovered",3,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"10",62034,2020-02-13,"Malaysia","N/A","Deaths",0,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"11",62035,2020-02-13,"Malaysia","N/A","Confirmed",19,1,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"12",62036,2020-02-13,"Malaysia","N/A","Active",16,1,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"13",65277,2020-02-12,"Malaysia","N/A","Recovered",3,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"14",65278,2020-02-12,"Malaysia","N/A","Deaths",0,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"15",65279,2020-02-12,"Malaysia","N/A","Confirmed",18,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"16",65280,2020-02-12,"Malaysia","N/A","Active",15,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"17",66289,2020-03-06,"Malaysia","N/A","Recovered",22,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"18",66290,2020-03-06,"Malaysia","N/A","Deaths",0,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"19",66291,2020-03-06,"Malaysia","N/A","Confirmed",83,33,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"20",66292,2020-03-06,"Malaysia","N/A","Active",61,33,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"21",66833,2020-02-24,"Malaysia","N/A","Recovered",18,3,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"22",66834,2020-02-24,"Malaysia","N/A","Deaths",0,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"23",66835,2020-02-24,"Malaysia","N/A","Confirmed",22,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"24",66836,2020-02-24,"Malaysia","N/A","Active",4,-3,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"25",67029,2020-03-12,"Malaysia","N/A","Recovered",26,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"26",67030,2020-03-12,"Malaysia","N/A","Deaths",0,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"27",67031,2020-03-12,"Malaysia","N/A","Confirmed",149,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"28",67032,2020-03-12,"Malaysia","N/A","Active",123,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"29",67753,2020-01-27,"Malaysia","N/A","Recovered",0,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"30",67754,2020-01-27,"Malaysia","N/A","Deaths",0,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"31",67755,2020-01-27,"Malaysia","N/A","Confirmed",4,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"32",67756,2020-01-27,"Malaysia","N/A","Active",4,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"33",67861,2020-02-03,"Malaysia","N/A","Recovered",0,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"34",67862,2020-02-03,"Malaysia","N/A","Deaths",0,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
